Regulation,Year,Agency,Cost
"Over-the-Counter Vaginal Contraceptive and Spermicide Drug Products Containing","2007","Food & Drug Administration","330.0k"
"Exceptions or Alternatives to Labeling Requirements for Products Held","2007","Food & Drug Administration","0.0"
"Current Good Manufacturing Practice for Blood and Blood Components; Notification","2007","Food & Drug Administration","87.6m"
"Electronic Products; Performance Standard for Diagnostic X-Ray Systems","2005","Food & Drug Administration","146.8m"
"Medical Devices; Patient Examination and Surgeons' Gloves; Test Procedures","2007","Food & Drug Administration","56.8m"
"Food Standards: Requirements for Substitute Standardized Meat and Poultry ","2005","Food & Drug Administration","0.0"
"New Method for the Analysis of Sulfites in Foods","2022","Food & Drug Administration","-720.0k"
"Food Additives: Food Contact Substance Notification That Is No Longer Effective","2024","Food & Drug Administration","-1.0m"
"Toll-Free Number for Reporting Adverse Events on Labeling for Drug Products","2008","Food & Drug Administration","53.4m"
"Prior Notice of Imported Food","2008","Food & Drug Administration","4.5b"
"Obstetrical and Gynecological Devices; Designation of Special Controls Condoms","2008","Food & Drug Administration","9.0m"
"Use of Ozone-Depleting Substances","2010","Food & Drug Administration ","98.0m"
"General Services Administration Acquisition Regulation; Immediate and Highest Level Owner for High-Security Leased Space","2021","General Services Administration","8.0m"
"Federal Acquisition; Preventing Personal Conflicts of Interest","2011","General Services Administration","0.0"
"General Services Administration Acquisition Regulation","2011","General Services Administration","0.0"
"General Services Administration Acquisition Regulation; Removing the GSA Payments Clause for Non-Commercial Contracts","2024","General Services Administration","37.6m"
"General Services Administration Acquisition Regulation (GSAR); Construction Contract Administration","2019","General Services Administration","1.6m"
"General Services Administration Acquisition Regulation (GSAR); Federal Supply Schedule Contracting (Administrative Changes)","2019","General Services Administration","1.8m"
"General Services Administration Acquisition Regulation (GSAR); Adoption of Construction Project Delivery Method Involving Early Industry Engagement-Construction Manager as Constructor (CMc)","2019","General Services Administration","30.0k"
"General Services Administration Acquisition Regulation; Federal Supply Schedule Economic Price Adjustment","2024","General Services Administration","-542.0k"
"Transactional Data Reporting","2016","General Services Administration","15.3m"
"General Services Administration Acquisition Regulation; Federal Supply Schedule, Order-Level Materials","2018","General Services Administration","-121.0k"
"General Services Administration Acquisition Regulation; Updated Guidance for Non-Federal Entities Access to Federal Supply Schedules","2024","General Services Administration","-597.0k"
"Unenforceable Commercial Supplier Agreement Terms","2018","General Services Administration","-119.0k"
"Federal Acquisition Regulation; FAR Case 2005-034, Reporting of Purchases","2007","General Services Administration","0.0"
"INPATIENT REHABILITATION FACILITY PROSPECTIVE PAYMENT SYSTEM","2005","Health & Human Services","0.0"
"Medicare Program; Changes to the Medicare Advantage and the Medicare Prescription Drug Benefit Program for Contract Year 2024-Remaining Provisions and Contract Year 2025 Policy and Technical Changes to the Medicare Advantage Program, Medicare Prescription","2024","Health & Human Services","2.2b"
"Medicare Program; Payment Policies Under the Physician Fee Schedule","2010","Health & Human Services","34.8m"
"Administrative Simplification: Modifications of Health Insurance Portability and Accountability Act of 1996 (HIPAA) National Council for Prescription Drug Programs (NCPDP) Retail Pharmacy Standards; and Modification of the Medicaid Pharmacy Subrogation St","2024","Health & Human Services","386.3m"
"Specifications for Medical Examinations of Underground Coal Miners","2012","Health & Human Services","-1.5m"
"Medicaid Program; Community First Choice Option","2012","Health & Human Services","5.7b"
"Implementing Medical Loss Ratio (MLR) Requirements","2010","Health & Human Services","171.0m"
"Medicare and Medicaid Programs; Conditions for Coverage for End-Stage","2008","Health & Human Services","-13.1m"
"TECHNICAL CHANGES TO THE MEDICARE PRESCRIPTION DRUG PROGRAM","2008","Health & Human Services","0.0"
"Medicare Program; Conditions for Payment of Power Mobility Devices","2005","Health & Human Services","0.0"
"Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2024 and Updates to the IRF Quality Reporting Program","2023","Health & Human Services","93.0k"
"Medicare and Medicaid Programs; Policy and Regulatory Revisions in Response to the COVID-19 Public Health Emergency","2020","Health & Human Services","-153.2m"
"Medicare Program; FY 2024 Inpatient Psychiatric Facilities Prospective Payment System-Rate Update","2023","Health & Human Services","-24.4m"
"Approval Tests and Standards for Air-Purifying Particulate Respirators","2020","Health & Human Services","1.3m"
"Medicare Program; FY 2024 Hospice Wage Index and Payment Rate Update, Hospice Conditions of Participation Updates, Hospice Quality Reporting Program Requirements, and Hospice Certifying Physician Provider Enrollment Requirements","2023","Health & Human Services","17.8m"
"Organizational Integrity of Entities","2010","Health & Human Services","7.0k"
"Medicare and Medicaid Programs; Patient Protection and Affordable Care Act; Interoperability and Patient Access for Medicare Advantage Organization and Medicaid Managed Care Plans, State Medicaid Agencies, CHIP Agencies and CHIP Managed Care Entities, Iss","2020","Health & Human Services","1.1b"
"HIPAA Privacy Rule To Support Reproductive Health Care Privacy","2024","Health & Human Services","622.3m"
"Organizational Integrity of Entities That Are Implementing Programs and Activities Under the Leadership Act","2010","Health & Human Services","0.0"
"21st Century Cures Act: Interoperability, Information Blocking, and the ONC Health IT Certification Program","2020","Health & Human Services","12.0b"
"Medicare and Medicaid Programs, Basic Health Program, and Exchanges; Additional Policy and Regulatory Revisions in Response to the COVID-19 Public Health Emergency and Delay of Certain Reporting Requirements for the Skilled Nursing Facility Quality Report","2020","Health & Human Services","-4.9m"
"Changes to the Hospital Payment System & CY 2009 Payment Rates","2008","Health & Human Services","26.2m"
"Adoption and Foster Care Analysis and Reporting System","2020","Health & Human Services","-381.4m"
"CHANGES TO THE HOSPITAL OUTPATIENT PROSPECTIVE PAYMENT SYSTEM","2008","Health & Human Services","0.0"
"Patient Protection and Affordable Care Act; HHS Notice of Benefit and Payment Parameters for 2021; Notice Requirement for Non-Federal Governmental Plans","2020","Health & Human Services","-162.9m"
"Changes to the Medicare Advantage and the Medicare Prescription","2010","Health & Human Services","1.7b"
"Medicare Program; Contract Year 2021 Policy and Technical Changes to the Medicare Advantage Program, Medicare Prescription Drug Benefit Program, and Medicare Cost Plan Program","2020","Health & Human Services","17.1m"
"Medicare Program; Prospective Payment System and Consolidated Billing for Skilled Nursing Facilities; Updates to the Quality Reporting Program and Value-Based Purchasing Program for Federal Fiscal Year 2024","2023","Health & Human Services","-777.0k"
"Child Support","2020","Health & Human Services","825.0k"
"Hospital Outpatient Prospective Payment System and CY 2011 Payment Rates","2010","Health & Human Services","0.0"
"Nondiscrimination in Health and Health Education Programs or Activities, Delegation of Authority","2020","Health & Human Services","-3.4b"
"Confidentiality of Substance Use Disorder Patient Records","2020","Health & Human Services","73.8m"
"Medicare Program Payment Under Physician Fee Schedule to CY 2009","2008","Health & Human Services","0.0"
"Medicare and Medicaid Program; Regulatory Provisions","2012","Health & Human Services","-650.0m"
"Medicare Program; FY 2021 Hospice Wage Index and Payment Rate Update","2020","Health & Human Services","0.0"
"Medicare and Medicaid Programs; Reform of Hospital and Critical","2012","Health & Human Services","-4.7b"
"Medicare Program; Prospective Payment System and Consolidated Billing for Skilled Nursing Facilities; Updates to the Value-Based Purchasing Program for Federal Fiscal Year 2021","2020","Health & Human Services","0.0"
"Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2021","2020","Health & Human Services","-600.0k"
"Unaccompanied Children Program Foundational Rule","2024","Health & Human Services","102.0k"
"Head Start Designation Renewal System","2020","Health & Human Services","595.0k"
"Designated Placement Requirements Under Titles IV-E and IV-B for LGBTQI+ Children","2024","Health & Human Services","34.9m"
"Medicare and Medicaid Programs, Clinical Laboratory Improvement Amendments (CLIA), and Patient Protection and Affordable Care Act; Additional Policy and Regulatory Revisions in Response to the COVID-19 Public Health Emergency","2020","Health & Human Services","4.5b"
"Fire Safety Requirements for Certain Health Care Facilities","2006","Health & Human Services","11.8m"
"Medicare Program; Accrediting Organizations-Changes of Ownership","2022","Health & Human Services","13.0k"
"Waiver of Disapproval of Nurse Aide Training Program","2010","Health & Human Services","0.0"
"Patient Safety and Quality Improvement","2008","Health & Human Services","796.5m"
"Medical Loss Ratio Requirements Under PPACA","2012","Health & Human Services","3.0m"
"Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Final Policy Changes and Fiscal Year 2021 Rates; Quality Reporting and Medicare and Medicaid Promoting","2020","Health & Human Services","12.4m"
"Medicare Program; Notification of Hospital Discharge Appeal Rights","2006","Health & Human Services","15.6m"
"PREMIUMS AND COST SHARING","2008","Health & Human Services","0.0"
"Medicare and Medicaid Programs; CY 2021 Home Health Prospective Payment System Rate Update, Home Health Quality Reporting Program Requirements, and Home Infusion Therapy Services and Supplier Enrollment Requirements; and Home Health Value-Based Purchasing","2020","Health & Human Services","84.0k"
"Health Care Infrastructure Improvement Program; Selection Criteria","2006","Health & Human Services","0.0"
"Additional Policy and Regulatory Revisions in Response to the COVID-19 Public Health Emergency","2020","Health & Human Services","13.4m"
"Hospital Outpatient Prospective Payment System and CY 2007 Payment Rates","2006","Health & Human Services","75.6m"
"Transparency in Coverage","2020","Health & Human Services","34.5b"
"Securing Updated and Necessary Statutory Evaluations Timely","2021","Health & Human Services","104.5m"
"Referrals to Health Care Entities With Which They Have Financial Relationships","2006","Health & Human Services","2.0m"
"Medicare Program; Changes for Long-Term Care Hospitals Required by Provisions","2008","Health & Human Services","0.0"
"Medicaid Program; Medicaid and Children's Health Insurance Program (CHIP) Managed Care","2020","Health & Human Services","-167.2m"
"Medicare and Medicaid Programs; Contract Year 2022 Policy and Technical Changes to the Medicare Advantage Program, Medicare Prescription Drug Benefit Program, Medicaid Program, Medicare Cost Plan Program, and Programs of All-Inclusive Care for the Elderly","2021","Health & Human Services","-52.9m"
